IDSensor,IDStation,Pollutant,NameStation,Altitude,Province,City,DateStart,DateStop,Latitude,Longitude,ARPA_stat_type,ARPA_zone
17286,1374,NO2,Monza Parco,181,MB,Monza,2013-05-01,NA,45.60123219955139,9.27507265782848,SB,Agg_MI
17290,1374,PM10,Monza Parco,181,MB,Monza,2013-02-15,NA,45.60123219955139,9.27507265782848,SB,Agg_MI
17285,1374,NOx,Monza Parco,181,MB,Monza,2013-05-01,NA,45.60123219955139,9.27507265782848,SB,Agg_MI
17288,1374,Ozone,Monza Parco,181,MB,Monza,2013-02-09,NA,45.60123219955139,9.27507265782848,SB,Agg_MI
10431,1264,NOx,Sondrio - Via Paribelli,290,SO,Sondrio,2008-11-11,NA,46.167852440665115,9.879209924469903,UB,D
9968,679,NOx,Valmadrera - Via Pozzi,247,LC,Valmadrera,2006-02-16,NA,45.842207261022544,9.351658166127958,SB,A
20197,598,PM10,San Rocco Al Porto - Via Matteotti,50,LO,San Rocco Al Porto,2002-01-01,NA,45.081986696978625,9.70078817718398,SB,B
5611,608,NO2,Codogno - Via Trento,59,LO,Codogno,2000-01-13,NA,45.15937280234111,9.69814824935254,UT,B
10347,670,PM2.5,Mantova San Agnese,22,MN,Mantova,2007-12-21,NA,45.16056833010576,10.79556411370788,UB,A
5543,540,NO2,Garbagnate Milanese - Via Villoresi,175,MI,Garbagnate Milanese,1992-12-11,2018-07-30,45.5717162655023,9.07824159056828,NA,NA
6889,667,NO2,Marmirolo Bosco Fontana,22,MN,Marmirolo,2003-01-01,2018-07-30,45.20817903938493,10.74263625117323,NA,NA
10016,664,Sulfur_dioxide,Mantova - Piazza Gramsci,18,MN,Mantova,2006-10-30,NA,45.151743379576594,10.78140770009565,UT,A
6372,503,NOx,Milano - Piazza Zavattari,122,MI,Milano,1980-09-18,2018-07-30,45.47606340509791,9.141786267186658,NA,NA
5825,531,CO,Pioltello Limito,114,MI,Pioltello,1994-11-11,NA,45.48363035323249,9.327360033215145,UB,Agg_MI
10013,576,PM2.5,Merate - Via Madonna Di Loreto,279,LC,Merate,2006-09-10,NA,45.69795198970243,9.406190938686596,UT,Agg_MI
5618,529,Sulfur_dioxide,Cinisello Balsamo - Via Lincoln,149,MI,Cinisello Balsamo,1988-08-10,1999-05-04,45.55232578741208,9.227764233272634,UT,Agg_MI
12610,546,Lead,Magenta - Via Turati,137,MI,Magenta,2008-04-15,NA,45.462415791106615,8.880210433125571,UT,A
5534,531,NO2,Pioltello Limito,114,MI,Pioltello,1989-05-23,NA,45.48363035323249,9.327360033215145,UB,Agg_MI
